GEO_ID,Income
04013104600,64871.00
04013104701,23295.00
04013104702,41630.00
04013104801,98889.00
04013104802,72344.00
04013104900,71406.00
04013105002,242375.00
04013105003,250000.00
04013105004,207083.00
04013105101,134875.00
04013105102,117037.00
04013105103,190179.00
04013105200,66500.00
04013105300,81042.00
04013105400,112031.00
04013105501,26458.00
04013105503,26463.00
04013105601,34091.00
04013105602,55075.00
04013105701,54857.00
04013105702,62606.00
04013105800,49872.00
04013105900,39313.00
04013106001,29464.00
04013106002,40521.00
04013106003,48825.00
04013106100,98972.00
04013106200,139722.00
04013106300,103201.00
04013106400,65357.00
04013106501,72297.00
04013106502,64279.00
04013106600,106667.00
04013106701,32625.00
04013106702,91563.00
04013106703,76250.00
04013106801,27841.00
04013106802,52639.00
04013106900,54744.00
04013107000,56563.00
04013107101,37014.00
04013107102,24000.00
04013107201,16563.00
04013107202,22986.00
04013107300,31343.00
04013107400,41607.00
04013107500,100625.00
04013107601,70441.00
04013107602,102910.00
04013107700,81542.00
04013107800,136583.00
04013107900,152460.00
04013108000,132344.00
04013108100,145625.00
04013108200,69417.00
04013108301,142917.00
04013108302,80833.00
04013108400,75833.00
04013108501,53529.00
04013108502,77750.00
04013108601,28375.00
04013108602,49519.00
04013108802,49545.00
04013108901,71667.00
04013108902,36591.00
04013109001,26979.00
04013109003,31667.00
04013109101,49286.00
04013109102,28889.00
04013109200,24053.00
04013109300,35341.00
04013109500,40921.00
04013109601,38188.00
04013109602,38906.00
04013109603,43929.00
04013109604,35884.00
04013109701,33472.00
04013109702,39013.00
04013109703,31382.00
04013109704,46667.00
04013109705,52404.00
04013109801,33438.00
04013109802,50313.00
04013109900,21750.00
04013110001,40446.00
04013110002,42000.00
04013110400,54825.00
04013110501,73125.00
04013110502,54904.00
04013110600,85278.00
04013110701,37500.00
04013110702,81190.00
04013110801,26471.00
04013110802,77941.00
04013110901,39167.00
04013110902,40366.00
04013111000,92448.00
04013111100,99167.00
04013111201,43333.00
04013111202,36250.00
04013111203,41786.00
04013111204,59545.00
04013111300,50912.00
04013111402,33750.00
04013111501,15583.00
04013111502,35143.00
04013111601,34250.00
04013111602,34511.00
04013111700,97250.00
04013111800,116058.00
04013111900,103594.00
04013112100,23229.00
04013112201,27891.00
04013112202,33750.00
04013112301,29020.00
04013112302,23750.00
04013112401,38869.00
04013112402,36307.00
04013112502,49688.00
04013112503,40496.00
04013112504,28583.00
04013112505,27356.00
04013112507,28750.00
04013112508,31506.00
04013112509,42160.00
04013112510,65455.00
04013112511,82768.00
04013112512,35913.00
04013112513,44118.00
04013112514,58482.00
04013112601,24063.00
04013112602,35156.00
04013112700,20064.00
04013112900,38750.00
04013113000,81429.00
04013113100,45729.00
04013113201,16892.00
04013113202,25197.00
04013113203,29274.00
04013113300,21322.00
04013113501,35200.00
04013113502,31875.00
04013113601,40156.00
04013113602,20625.00
04013113700,32036.00
04013113801,61250.00
04013113900,38958.00
04013114000,22127.00
04013114100,160469.00
04013114200,27727.00
04013114302,13490.00
04013114402,39643.00
04013114500,27629.00
04013114800,33750.00
04013114900,23393.00
04013115200,27443.00
04013115300,26328.00
04013115400,47614.00
04013115500,33382.00
04013115600,41607.00
04013115700,31473.00
04013115801,23061.00
04013115802,20026.00
04013115900,41625.00
04013116000,33681.00
04013116100,36250.00
04013116202,42431.00
04013116203,49906.00
04013116204,65179.00
04013116205,54750.00
04013116300,48750.00
04013116400,35377.00
04013116500,42634.00
04013116602,43920.00
04013116603,75000.00
04013116604,85750.00
04013116605,58984.00
04013116606,43790.00
04013116607,52232.00
04013116608,56200.00
04013116609,95298.00
04013116610,94728.00
04013116611,89643.00
04013116612,90188.00
04013116613,83448.00
04013116702,55987.00
04013116703,52763.00
04013116704,104441.00
04013116707,110625.00
04013116708,58516.00
04013116709,71964.00
04013116710,131737.00
04013116711,76875.00
04013116712,56692.00
04013116713,85714.00
04013116714,98125.00
04013116715,97438.00
04013116717,54491.00
04013116718,59063.00
04013116719,126111.00
04013116720,62396.00
04013116721,105250.00
04013116725,129896.00
04013116727,162083.00
04013116728,155250.00
04013116729,153906.00
04013116730,117000.00
04013116731,102589.00
04013116732,83629.00
04013116800,46513.00
